GV	Counts	CountErr	VCharge	SolidAngle
950.000000	134359.893358	1397.464673	265486.000000	3.664763	149251.000000
1000.000000	78997.398404	1058.208901	227089.000000	3.664763	87116.000000
975.000000	43638.595382	577.328047	106448.000000	3.664763	53761.000000
860.000000	295597.967495	1006.792317	184950.000000	3.664763	354588.000000
813.000000	28008.029970	763.471260	17287.000000	3.664763	23939.000000
2137.000000	1386.830477	107.990794	34620.000000	3.664763	2075.000000
1045.000000	174305.549891	562.786242	160118.000000	3.664763	211174.000000
920.000000	61457.263091	663.552194	64221.000000	3.661888	74599.000000
898.000000	158762.384860	889.515795	113575.000000	3.664763	185412.000000
1055.000000	55155.478470	322.485147	124835.000000	3.664763	68723.000000
835.000000	59106.470961	466.774441	47030.000000	3.664763	69870.000000
880.000000	117858.185489	516.353524	72056.000000	3.664763	138727.000000
1710.000000	24838.232916	161347.373654	14897.000000	3.664763	184.000000
1034.000000	128343.621581	571.956554	114251.000000	3.661596	156865.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
