GV	AlphaCM	AlphaCMerr
835.000000	4408.205687	0.269419
950.000000	4494.952327	0.328814
1045.000000	4584.011025	0.094637
920.000000	4477.391144	0.258668
860.000000	4431.137013	0.088745
880.000000	4451.868621	0.144840
898.000000	4459.568268	0.184124
2564.000000	5834.425260	0.860818
1000.000000	4535.050043	0.444302
1055.000000	4591.600981	0.160303
975.000000	4522.640591	0.330240
1034.000000	4574.066343	0.126711
2460.000000	5745.811873	1.358625
1400.000000	4804.389407	185.580432
2137.000000	5481.264009	1.627154
813.000000	4390.691448	0.469253
