GV	AlphaCM	AlphaCMerr
950.000000	4491.504125	0.129078
1000.000000	4532.618998	0.165307
975.000000	4512.982466	0.218665
860.000000	4426.273568	0.108447
813.000000	4389.436425	0.498359
2460.000000	5745.014885	3.599388
2137.000000	5469.647341	5.896707
1045.000000	4585.348239	0.216507
920.000000	4469.128769	0.176120
898.000000	4455.407924	0.139661
1055.000000	4593.241546	0.383912
835.000000	4405.662541	0.246530
880.000000	4449.008796	0.267564
1710.000000	5111.388305	12.906914
2564.000000	5857.999817	22.058624
1034.000000	4571.873971	0.223047
1400.000000	4865.502532	6.012821
