Angle	DirectCounts	SolidAngle	Alpha0	VCharge
0		0.000000	0.000000	0.000000	227089.000000
5		0.000000	0.000000	0.000000	227089.000000
10		0.000000	0.000000	0.000000	227089.000000
15		0.000000	0.000000	0.000000	227089.000000
20		0.000000	0.000000	0.000000	227089.000000
25		0.000000	0.000000	0.000000	227089.000000
30		0.000000	0.000000	0.000000	227089.000000
35		0.000000	0.000000	0.000000	227089.000000
40		0.000000	0.000000	0.000000	227089.000000
45		0.000000	0.000000	0.000000	227089.000000
50		0.000000	0.000000	0.000000	227089.000000
55		0.000000	0.016798	369.000000	227089.000000
60		1.000000	0.077145	1888.000000	227089.000000
65		2.000000	0.098927	2796.000000	227089.000000
70		0.000000	0.102527	3223.000000	227089.000000
75		7.000000	0.173975	4925.000000	227089.000000
80		10.000000	0.216457	7111.000000	227089.000000
85		9.000000	0.179556	6283.000000	227089.000000
90		10.000000	0.233723	7578.000000	227089.000000
95		9.000000	0.141571	4848.000000	227089.000000
100		13.000000	0.101910	3863.000000	227089.000000
105		15.000000	0.099710	3125.000000	227089.000000
110		4.000000	0.087500	2056.000000	227089.000000
115		0.000000	0.016947	395.000000	227089.000000
120		0.000000	0.000000	0.000000	227089.000000
125		0.000000	0.000000	0.000000	227089.000000
130		0.000000	0.000000	0.000000	227089.000000
135		0.000000	0.000000	0.000000	227089.000000
140		0.000000	0.000000	0.000000	227089.000000
145		0.000000	0.000000	0.000000	227089.000000
150		0.000000	0.000000	0.000000	227089.000000
155		0.000000	0.000000	0.000000	227089.000000
160		0.000000	0.000000	0.000000	227089.000000
165		0.000000	0.000000	0.000000	227089.000000
170		0.000000	0.000000	0.000000	227089.000000
175		0.000000	0.000000	0.000000	227089.000000
