Angle	Counts	CountErr	DirectCounts	SolidAngle	VCharge	CMangle
15	203.511125	31.012934	95.000000	0.011745	113363.000000	18.398808
20	2230.164029	74.781776	1036.000000	0.135295	113363.000000	23.270915
25	5384.611566	116.142610	2458.000000	0.208559	113363.000000	23.924286
30	4855.853596	110.251092	2243.000000	0.248298	113363.000000	30.004972
35	1594.869335	63.286305	746.000000	0.096652	113363.000000	39.457031
40	314.631589	29.294590	189.000000	0.038156	113363.000000	39.993259
60	9918.624158	157.469329	4360.000000	0.072295	113363.000000	65.391753
65	13081.572613	180.285246	5758.000000	0.088829	113363.000000	66.792380
70	14479.796939	190.262031	6372.000000	0.087398	113363.000000	74.068478
75	27626.542742	262.806230	12359.000000	0.158553	113363.000000	78.369361
80	32435.213436	284.760084	14504.000000	0.170177	113363.000000	82.268600
85	47811.202972	345.744123	20876.000000	0.237242	113363.000000	86.540536
90	42685.954267	326.576671	18801.000000	0.196901	113363.000000	95.280906
95	23335.944558	241.655098	10525.000000	0.104357	113363.000000	96.788110
100	28368.512548	266.328302	12575.000000	0.121429	113363.000000	105.143104
105	25603.566223	253.033245	11442.000000	0.107960	113363.000000	108.931190
110	16834.011148	205.176414	7465.000000	0.072821	113363.000000	112.688844
135	23084.280048	240.230533	12996.000000	0.203988	113363.000000	137.861613
140	43472.635599	329.689138	21050.000000	0.317127	113363.000000	142.725100
145	10324.665535	160.778256	5309.000000	0.081052	113363.000000	147.729507
150	36474.001469	301.985094	17978.000000	0.270949	113363.000000	153.461175
155	33555.039126	289.652978	16165.000000	0.238968	113363.000000	156.490864
160	18108.935676	212.779325	8594.000000	0.124580	113363.000000	159.509736
