Angle	Short	Normal	Long
60	0.080179	0.075684	0.071424	0.004495
65	0.098955	0.092872	0.087197	0.006083
70	0.093747	0.087398	0.081569	0.006349
75	0.171887	0.158553	0.146582	0.013334
80	0.185242	0.170177	0.156772	0.015065
85	0.259883	0.237242	0.217339	0.022641
90	0.215041	0.196901	0.180876	0.018139
95	0.113746	0.104357	0.096034	0.009388
100	0.132369	0.121429	0.111716	0.010940
105	0.117408	0.107960	0.099531	0.009449
110	0.078288	0.072821	0.067819	0.005468
135	0.210310	0.203988	0.197222	0.006766
140	0.330717	0.317127	0.303358	0.013769
145	0.086183	0.081052	0.076168	0.005132
150	0.291427	0.270949	0.252016	0.020477
155	0.260486	0.238968	0.219663	0.021517
160	0.137198	0.124580	0.113497	0.012618
