FI	theta
9	150.456883
18	139.358133
6	154.655978
19	140.481901
21	136.681735
24	134.690546
19	139.887375
9	149.171291
12	148.329592
20	139.126022
21	138.707379
9	151.261277
21	137.458402
3	159.506124
9	150.130655
22	136.401506
11	147.876735
18	139.379179
1	160.317820
18	141.198192
1	161.516908
23	135.543162
6	155.964333
4	156.842112
6	156.558577
21	137.819539
7	153.907088
5	156.260615
10	150.640006
18	140.965426
10	149.807098
23	137.169671
4	156.735839
6	155.480984
9	150.613523
24	134.446664
7	152.596514
1	162.292721
3	159.236716
19	138.369526
6	156.393261
7	153.492115
6	155.730294
18	142.077939
3	160.376033
3	158.532510
8	151.817214
10	149.412048
5	156.846663
7	152.823753
5	156.545260
22	137.134529
8	150.084996
11	147.835300
17	140.159963
12	147.345598
19	140.786584
8	151.930833
2	157.970509
20	139.908262
24	134.039490
1	161.260416
18	141.472668
5	157.062800
1	160.972188
2	158.626076
10	149.645002
1	162.168222
20	138.604426
3	156.592638
20	138.331370
21	136.600380
8	152.315327
21	138.789404
2	158.796767
17	141.536845
23	135.964257
12	146.548683
1	161.605159
19	139.032561
9	149.998427
7	154.433709
1	163.086878
9	152.125151
17	142.511682
21	137.894906
24	136.174631
2	160.104014
20	137.641569
23	134.865732
18	140.338815
5	156.418177
21	138.677874
18	140.964743
2	160.224512
17	141.622975
19	139.017696
8	152.519564
12	146.120601
19	139.985144
21	137.014397
9	151.784924
3	159.041996
10	147.409129
8	152.111575
5	154.260098
3	159.872635
11	147.548802
8	150.895120
5	154.904377
3	159.400406
9	150.796250
4	155.401786
21	137.949002
18	140.702941
24	136.239990
18	140.487258
23	134.753108
10	148.424845
23	135.899397
10	149.034911
1	160.653295
7	151.500484
9	151.086797
5	156.322166
11	146.399537
10	148.120525
6	155.855756
19	140.918928
1	160.968652
7	154.394996
2	157.891210
17	141.960706
4	157.420448
4	156.367779
22	135.823143
17	140.641685
5	156.759239
18	140.510811
18	140.824136
18	140.048154
11	147.669432
12	148.301650
20	139.037795
18	139.763954
17	141.125919
20	138.468441
17	142.051051
21	136.611256
24	134.737979
8	153.756980
19	139.336149
12	146.459430
1	159.948983
6	153.155735
24	133.909414
2	160.685671
2	159.586078
10	147.968910
10	147.777590
10	151.007545
24	134.081176
7	152.029926
18	139.961468
6	153.262748
2	158.545213
23	135.066940
19	138.644111
19	139.043980
5	154.191916
23	136.525836
2	159.354140
21	137.773271
4	158.661438
11	147.125444
8	151.615773
4	156.827476
12	145.728722
18	139.332545
5	154.382728
21	138.763918
18	139.475235
9	149.203997
10	149.553727
1	161.634720
22	137.789671
8	150.236184
4	157.033191
9	148.957649
22	137.805256
20	137.983105
7	151.717620
2	160.124229
10	149.367542
10	150.909104
19	139.267057
24	135.614896
4	156.380975
2	161.742759
22	136.197626
7	153.381511
2	158.797590
19	140.181921
6	152.726917
5	155.903519
17	142.748739
17	141.396669
18	140.314751
8	152.285646
5	157.381104
5	156.151853
21	137.233738
5	157.476933
6	155.004231
7	152.232332
9	152.183670
21	137.551215
11	149.859934
17	141.643970
8	151.064797
1	163.020783
24	134.766692
17	141.159759
9	150.599022
4	155.162778
19	139.658276
5	154.027508
2	162.189086
21	136.462367
1	163.354853
20	139.258422
4	157.903765
10	150.767748
3	158.778443
21	137.250575
8	152.364045
21	138.440273
24	136.072946
22	137.928357
5	155.441082
17	142.203307
